VideoName,Frame,radar_range,radar_angle,cam_tick,rad_tick,lateral_dist,TargetID,Data_Confidence
20180101_1511_50400,76,112.7,0.20000000000000284,5807808,5807776,0.39339640778512813,32,90.0
20180101_1511_50400,76,114.0,0.29999999999999716,5807808,5807776,0.5968998665999052,35,100.0
20180101_1511_50400,76,115.35000000000001,0.20000000000000284,5807808,5807808,0.40264663387767996,39,55.0
20180101_1511_50400,77,111.35000000000001,0.20000000000000284,5807854,5807870,0.38868402845496025,32,80.0
20180101_1511_50400,77,112.60000000000001,0.29999999999999716,5807854,5807870,0.5895695173609591,35,100.0
20180101_1511_50400,77,114.60000000000001,0.29999999999999716,5807854,5807870,0.600041444845168,39,55.0
20180101_1511_50400,78,111.35000000000001,0.20000000000000284,5807886,5807870,0.38868402845496025,32,80.0
20180101_1511_50400,78,112.60000000000001,0.29999999999999716,5807886,5807870,0.5895695173609591,35,100.0
20180101_1511_50400,78,114.60000000000001,0.29999999999999716,5807886,5807870,0.600041444845168,39,55.0
20180101_1511_50400,79,110.75,0.20000000000000284,5807917,5807886,0.38658963764155224,32,76.0
20180101_1511_50400,79,111.95,0.29999999999999716,5807917,5807886,0.5861661409285912,35,100.0
20180101_1511_50400,79,114.0,0.4000000000000057,5807917,5807886,0.7958636603918782,39,52.0
20180101_1511_50400,79,126.55000000000001,-2.200000000000003,5807917,5807932,-4.857977157198227,4,74.0
20180101_1511_50400,79,107.60000000000001,0.5,5807917,5807932,0.9389752036082517,12,54.0
20180101_1511_50400,79,115.60000000000001,0.4000000000000057,5807917,5807948,0.80703367667808,37,55.0
20180101_1511_50400,80,109.95,0.20000000000000284,5807948,5807917,0.3837971165570083,32,72.0
20180101_1511_50400,80,111.25,0.29999999999999716,5807948,5807917,0.5825009663091181,35,100.0
20180101_1511_50400,80,113.25,0.5,5807948,5807917,0.9882801283330344,39,49.0
20180101_1511_50400,80,126.55000000000001,-2.200000000000003,5807948,5807932,-4.857977157198227,4,74.0
20180101_1511_50400,80,107.60000000000001,0.5,5807948,5807932,0.9389752036082517,12,54.0
20180101_1511_50400,80,115.60000000000001,0.4000000000000057,5807948,5807948,0.80703367667808,37,55.0
20180101_1511_50400,81,109.9,0.4000000000000057,5808026,5808010,0.7672404936584861,35,100.0
20180101_1511_50400,81,114.85000000000001,0.5999999999999943,5808026,5808010,1.2026843852359836,37,55.0
20180101_1511_50400,81,112.05000000000001,-0.09999999999999432,5808026,5808010,-0.19556404006293485,39,75.0
20180101_1511_50400,81,125.25,-1.9000000000000057,5808026,5808026,-4.152686022351708,4,66.0
20180101_1511_50400,81,106.35000000000001,0.09999999999999432,5808026,5808026,0.1856156685470158,12,77.0
20180101_1511_50400,82,109.9,0.4000000000000057,5808042,5808010,0.7672404936584861,35,100.0
20180101_1511_50400,82,114.85000000000001,0.5999999999999943,5808042,5808010,1.2026843852359836,37,55.0
20180101_1511_50400,82,112.05000000000001,-0.09999999999999432,5808042,5808010,-0.19556404006293485,39,75.0
20180101_1511_50400,82,125.25,-1.9000000000000057,5808042,5808026,-4.152686022351708,4,66.0
20180101_1511_50400,82,106.35000000000001,0.09999999999999432,5808042,5808026,0.1856156685470158,12,77.0
20180101_1511_50400,83,124.55000000000001,-1.7999999999999972,5808088,5808057,-3.9122099764677203,4,62.0
20180101_1511_50400,83,105.65,0.0,5808088,5808057,0.0,12,77.0
20180101_1511_50400,83,108.55000000000001,0.4000000000000057,5808088,5808057,0.7578157924170034,35,100.0
20180101_1511_50400,83,113.75,-0.4000000000000057,5808088,5808057,-0.7941183453471592,37,78.0
20180101_1511_50400,83,110.80000000000001,0.4000000000000057,5808088,5808057,0.7735236278194747,39,88.0
20180101_1511_50400,83,101.60000000000001,0.9000000000000057,5808088,5808120,1.5958634116607344,26,55.0
20180101_1511_50400,84,105.05000000000001,0.4000000000000057,5808120,5808104,0.7333813817909369,12,89.0
20180101_1511_50400,84,101.60000000000001,0.9000000000000057,5808120,5808120,1.5958634116607344,26,55.0
20180101_1511_50400,84,107.95,0.4000000000000057,5808120,5808120,0.7536270363096776,35,100.0
20180101_1511_50400,84,113.10000000000001,-0.20000000000000284,5808120,5808120,-0.3947926683274001,37,89.0
20180101_1511_50400,84,110.15,0.5999999999999943,5808120,5808120,1.1534670007291563,39,94.0
20180101_1511_50400,85,105.05000000000001,0.4000000000000057,5808135,5808104,0.7333813817909369,12,89.0
20180101_1511_50400,85,101.60000000000001,0.9000000000000057,5808135,5808120,1.5958634116607344,26,55.0
20180101_1511_50400,85,107.95,0.4000000000000057,5808135,5808120,0.7536270363096776,35,100.0
20180101_1511_50400,85,113.10000000000001,-0.20000000000000284,5808135,5808120,-0.3947926683274001,37,89.0
20180101_1511_50400,85,110.15,0.5999999999999943,5808135,5808120,1.1534670007291563,39,94.0
20180101_1511_50400,86,103.80000000000001,0.4000000000000057,5808182,5808166,0.7246548065673418,12,84.0
20180101_1511_50400,86,100.30000000000001,0.7999999999999972,5808182,5808166,1.4004066641294555,26,52.0
20180101_1511_50400,86,106.65,0.4000000000000057,5808182,5808166,0.7445513980771387,35,100.0
20180101_1511_50400,86,111.75,-0.4000000000000057,5808182,5808166,-0.7801558249894069,37,84.0
20180101_1511_50400,86,108.85000000000001,0.7999999999999972,5808182,5808166,1.5197833039929336,39,89.0
20180101_1511_50400,87,103.10000000000001,0.29999999999999716,5808213,5808213,0.539827861810967,12,79.0
20180101_1511_50400,87,99.60000000000001,0.7999999999999972,5808213,5808213,1.3906331380587613,26,49.0
20180101_1511_50400,87,105.95,0.4000000000000057,5808213,5808213,0.7396645159519254,35,100.0
20180101_1511_50400,87,111.0,-0.4000000000000057,5808213,5808213,-0.7749198798552498,37,79.0
20180101_1511_50400,87,108.15,0.7999999999999972,5808213,5808213,1.5100097779222394,39,84.0
20180101_1511_50400,88,102.55000000000001,0.29999999999999716,5808260,5808229,0.5369480817528096,12,75.0
20180101_1511_50400,88,99.05000000000001,0.7000000000000028,5808260,5808229,1.2100939120902872,26,46.0
20180101_1511_50400,88,105.35000000000001,0.4000000000000057,5808260,5808229,0.7354757598445998,35,100.0
20180101_1511_50400,88,110.4,-0.5,5808260,5808229,-0.963409502586905,37,75.0
20180101_1511_50400,88,107.60000000000001,0.9000000000000057,5808260,5808229,1.6901073139241636,39,79.0
20180101_1511_50400,89,101.85000000000001,0.29999999999999716,5808276,5808276,0.5332829071333365,12,71.0
20180101_1511_50400,89,98.35000000000001,0.7000000000000028,5808276,5808276,1.2015420116514866,26,43.0
20180101_1511_50400,89,104.60000000000001,0.4000000000000057,5808276,5808276,0.7302398147104426,35,100.0
20180101_1511_50400,89,109.60000000000001,-0.5,5808276,5808276,-0.9564282743072898,37,71.0
20180101_1511_50400,89,106.9,1.0,5808276,5808276,1.8656622163240721,39,75.0
20180101_1511_50400,90,101.85000000000001,0.29999999999999716,5808307,5808276,0.5332829071333365,12,71.0
20180101_1511_50400,90,98.35000000000001,0.7000000000000028,5808307,5808276,1.2015420116514866,26,43.0
20180101_1511_50400,90,104.60000000000001,0.4000000000000057,5808307,5808276,0.7302398147104426,35,100.0
20180101_1511_50400,90,109.60000000000001,-0.5,5808307,5808276,-0.9564282743072898,37,71.0
20180101_1511_50400,90,106.9,1.0,5808307,5808276,1.8656622163240721,39,75.0
20180101_1511_50400,91,101.30000000000001,0.29999999999999716,5808338,5808307,0.530403127075179,12,67.0
20180101_1511_50400,91,97.80000000000001,0.7000000000000028,5808338,5808307,1.1948226613067146,26,40.0
20180101_1511_50400,91,104.05000000000001,0.4000000000000057,5808338,5808307,0.7264001216120608,35,100.0
20180101_1511_50400,91,108.95,-0.5999999999999943,5808338,5808307,-1.140900860004009,37,67.0
20180101_1511_50400,91,106.25,0.9000000000000057,5808338,5808307,1.6689024359148918,39,88.0
20180101_1511_50400,92,97.10000000000001,0.5999999999999943,5808385,5808354,1.0168102203431781,26,38.0
20180101_1511_50400,92,103.30000000000001,0.4000000000000057,5808385,5808354,0.7211641764779038,35,100.0
20180101_1511_50400,92,108.15,-0.7000000000000028,5808385,5808354,-1.321268617794695,37,63.0
20180101_1511_50400,92,105.5,1.0,5808385,5808354,1.8412288477286212,39,88.0
20180101_1511_50400,93,102.7,0.29999999999999716,5808400,5808385,0.5377334763141253,35,100.0
20180101_1511_50400,93,104.95,1.0,5808400,5808385,1.8316300243518369,39,83.0
20180101_1511_50400,94,101.95,0.29999999999999716,5808447,5808416,0.5338065035075469,35,100.0
20180101_1511_50400,94,104.15,1.0999999999999943,5808447,5808416,1.9994135918255393,39,78.0
20180101_1511_50400,95,100.65,0.20000000000000284,5808478,5808447,0.35133405894918496,35,100.0
20180101_1511_50400,95,102.75,1.2000000000000028,5808478,5808447,2.151833606313975,39,70.0
20180101_1511_50400,96,100.10000000000001,0.20000000000000284,5808510,5808478,0.349414200703561,35,100.0
20180101_1511_50400,96,102.15,1.2000000000000028,5808510,5808478,2.1392681545982732,39,66.0
20180101_1511_50400,97,99.35000000000001,0.20000000000000284,5808556,5808556,0.34679621218680107,35,100.0
20180101_1511_50400,97,101.35000000000001,1.2999999999999972,5808556,5808556,2.2993612183852425,39,62.0
20180101_1511_50400,98,99.35000000000001,0.20000000000000284,5808572,5808556,0.34679621218680107,35,100.0
20180101_1511_50400,98,101.35000000000001,1.2999999999999972,5808572,5808556,2.2993612183852425,39,62.0
20180101_1511_50400,99,97.4,0.29999999999999716,5808619,5808634,0.5099828684809717,35,100.0
20180101_1511_50400,99,99.65,0.5,5808619,5808634,0.8695992475795751,39,76.0
20180101_1511_50400,100,97.4,0.29999999999999716,5808634,5808634,0.5099828684809717,35,100.0
20180101_1511_50400,100,99.65,0.5,5808634,5808634,0.8695992475795751,39,76.0
20180101_1511_50400,101,96.65,0.29999999999999716,5808681,5808681,0.5060558956743935,35,100.0
20180101_1511_50400,101,98.85000000000001,0.5,5808681,5808681,0.8626180192999598,39,72.0
20180101_1511_50400,102,96.65,0.29999999999999716,5808712,5808681,0.5060558956743935,35,100.0
20180101_1511_50400,102,98.85000000000001,0.5,5808712,5808681,0.8626180192999598,39,72.0
20180101_1511_50400,103,96.0,0.5,5808759,5808744,0.8377473935538304,35,100.0
20180101_1511_50400,103,98.2,0.5,5808759,5808744,0.8569457713227724,39,68.0
20180101_1511_50400,105,95.2,0.5,5808837,5808837,0.8307661652742152,35,100.0
20180101_1511_50400,105,97.4,0.5,5808837,5808837,0.8499645430431572,39,64.0
20180101_1511_50400,107,94.60000000000001,0.4000000000000057,5808931,5808946,0.6604272129216814,35,100.0
20180101_1511_50400,107,96.75,0.5,5808931,5808946,0.8442922950659697,39,60.0
20180101_1511_50400,108,94.60000000000001,0.4000000000000057,5808946,5808946,0.6604272129216814,35,100.0
20180101_1511_50400,108,96.75,0.5,5808946,5808946,0.8442922950659697,39,60.0
20180101_1511_50400,109,94.60000000000001,0.4000000000000057,5808978,5808946,0.6604272129216814,35,100.0
20180101_1511_50400,109,96.75,0.5,5808978,5808946,0.8442922950659697,39,60.0
20180101_1511_50400,110,93.80000000000001,0.5,5809009,5808993,0.8185490157848886,35,100.0
20180101_1511_50400,110,127.0,-1.2000000000000028,5809009,5809040,-2.6596872798235993,28,72.0
20180101_1511_50400,111,127.0,-1.2000000000000028,5809056,5809040,-2.6596872798235993,28,72.0
20180101_1511_50400,111,93.15,0.4000000000000057,5809056,5809040,0.6503043856623111,35,100.0
20180101_1511_50400,112,126.2,-0.9000000000000057,5809149,5809180,-1.982263410940794,28,72.0
20180101_1511_50400,113,126.2,-0.9000000000000057,5809180,5809180,-1.982263410940794,28,72.0
20180101_1511_50400,114,92.35000000000001,0.4000000000000057,5809258,5809258,0.6447193775192102,35,100.0
20180101_1511_50400,115,92.35000000000001,0.4000000000000057,5809274,5809258,0.6447193775192102,35,100.0
20180101_1511_50400,116,92.35000000000001,0.4000000000000057,5809290,5809258,0.6447193775192102,35,100.0
20180101_1511_50400,116,125.7,-2.200000000000003,5809290,5809321,-4.825347520030163,28,86.0
20180101_1511_50400,117,125.7,-2.200000000000003,5809305,5809321,-4.825347520030163,28,86.0
20180101_1511_50400,117,91.7,0.29999999999999716,5809305,5809321,0.48013787515097645,35,100.0
20180101_1511_50400,118,124.85000000000001,-2.0999999999999943,5809399,5809399,-4.574966954007964,28,86.0
20180101_1511_50400,118,90.9,0.29999999999999716,5809399,5809414,0.4759491041572929,35,100.0
20180101_1511_50400,119,124.85000000000001,-2.0999999999999943,5809414,5809399,-4.574966954007964,28,86.0
20180101_1511_50400,119,90.9,0.29999999999999716,5809414,5809414,0.4759491041572929,35,100.0
20180101_1511_50400,120,90.9,0.29999999999999716,5809446,5809414,0.4759491041572929,35,100.0
20180101_1511_50400,121,90.30000000000001,0.20000000000000284,5809555,5809570,0.3152058174178977,35,100.0
20180101_1511_50400,122,90.30000000000001,0.20000000000000284,5809570,5809570,0.3152058174178977,35,100.0
20180101_1511_50400,125,89.45,0.20000000000000284,5809711,5809742,0.31223876376556975,35,100.0
20180101_1511_50400,126,89.45,0.20000000000000284,5809742,5809742,0.31223876376556975,35,100.0
20180101_1511_50400,128,88.80000000000001,0.09999999999999432,5809820,5809836,0.1549851562480019,35,100.0
20180101_1511_50400,129,88.80000000000001,0.09999999999999432,5809836,5809836,0.1549851562480019,35,100.0
20180101_1511_50400,130,88.0,0.09999999999999432,5809882,5809914,0.153588893579101,35,100.0
20180101_1511_50400,131,88.0,0.09999999999999432,5809914,5809914,0.153588893579101,35,100.0
